,boar_id,age_years,weight_kg,length_cm,shoulder_height_cm,tusk_length_cm,litter_size,health_score,territory_ha
count,200.0,200.0,200.0,200.0,200.0,200.0,92.0,200.0,200.0
mean,100.5,4.6625,69.7425,149.75750000000002,79.59549999999999,10.251,3.9130434782608696,75.15,4.242999999999999
std,57.879184513951124,2.060746742246216,26.797053084622956,26.105636653324066,11.739459283602324,5.111824797840698,2.8464443750943826,16.70667726768651,1.8970092833472185
min,1.0,0.5,15.0,83.4,50.0,0.0,0.0,22.0,0.8
10%,20.900000000000002,2.0900000000000003,38.3,116.99,64.02,3.4,0.0,56.0,1.6900000000000002
20%,40.800000000000004,2.8,47.56,128.68,70.2,6.6,0.0,61.0,2.6
30%,60.699999999999996,3.4,54.58,132.64,74.17,7.7,0.9000000000000021,67.0,3.3
40%,80.60000000000001,4.0,60.32,142.96,77.36,8.7,4.0,71.0,3.8
50%,100.5,4.7,65.85,150.1,80.4,9.5,5.0,75.0,4.1
60%,120.39999999999999,5.239999999999999,72.22,154.6,83.1,10.7,5.600000000000001,80.0,4.6
70%,140.29999999999998,5.8,82.59999999999998,162.7,85.7,12.629999999999997,6.0,84.0,5.3
80%,160.20000000000002,6.3,90.84000000000002,173.96,89.68,14.620000000000001,6.0,91.20000000000002,5.920000000000002
90%,180.1,7.0,106.93999999999998,185.52,94.85,17.709999999999997,7.0,99.0,6.9
100%,200.0,12.0,139.7,210.0,106.8,25.0,9.0,100.0,8.8
max,200.0,12.0,139.7,210.0,106.8,25.0,9.0,100.0,8.8
